track,spec,model,n,pass_rate,tokens_med,tokens_min,tokens_max,cost_med,cost_per_success,tokens_per_success,cache_hit_med,turns_med,tool_calls_med,wall_ms_med,ttft_ms_med,tps_med,peak_ctx_med
local,extract-json,anthropic/claude-fable-5,3,1.0000,721,721,722,0.002495,0.005087,721.3333333333334,0.9985,1,0,5267,4613,169,686
local,extract-json,anthropic/claude-opus-4-8,3,1.0000,711,711,711,0.004055,0.004055,711,0.0000,1,0,1649,1367,88,686
local,extract-json,anthropic/claude-sonnet-4-6,3,1.0000,511,511,511,0.001785,0.001785,511,0.0000,1,0,1420,1072,67,490
local,extract-json,anthropic/claude-haiku-4-5,3,1.0000,625,619,663,0.001049,0.001102,635.6666666666666,0.0000,1,0,1376,718,185,519
local,extract-json,anthropic/claude-haiku-4-5-20251001,3,1.0000,648,624,653,0.001164,0.001132,641.6666666666666,0.0000,1,0,1704,982,157,519
